,trip_id,service_date,weather,rush_hour,baseline_result,delay_current_trip,ratio_current_trip,delay_prev_trip,ratio_prev_trip,prev_arrival_time,actual_arrival_time,shape_id,stop_id,time_of_day,dist_along_route
26,MA_A6-Weekday-SDon-040200_X15_606,20160105,0,0,2916.80809,-0.030239746,0.969760254,-0.214806479,0.969760254,2327.26386,2758.366129,X150112,903098,05-01-2016 12:15,10620.392
27,MA_A6-Weekday-SDon-040200_X15_606,20160105,0,0,2639.976492,-0.005818981,0.994181019,-0.235833323,0.994181019,1993.389474,2458.366129,X150112,903098,05-01-2016 12:20,11717.965
28,MA_A6-Weekday-SDon-040200_X15_606,20160105,0,0,2296.492549,-0.050400138,0.949599862,-0.299925159,0.949599862,1847.501404,2158.366129,X150112,903098,05-01-2016 12:25,13125.60084
29,MA_A6-Weekday-SDon-040200_X15_606,20160105,0,0,2197.380449,-0.050400138,0.949599862,-0.268278274,0.949599862,1769.968765,1858.366129,X150112,903098,05-01-2016 12:30,14279.01647
30,MA_A6-Weekday-SDon-040800_X15_607,20160105,0,0,292.2307586,0.049830661,1.049830661,0.078325242,1.049830661,342.3874452,234.005773,X150112,201758,05-01-2016 12:00,3627.466508
31,MA_A6-Weekday-SDon-040800_X15_607,20160105,0,0,2779.294377,0.049830661,1.049830661,-0.190577619,1.049830661,2329.171381,2787.504037,X150112,901114,05-01-2016 12:00,3627.466508
32,MA_A6-Weekday-SDon-040800_X15_607,20160105,0,0,2403.240389,-0.034464494,0.965535506,-0.27284107,0.965535506,2093.062024,2487.504037,X150112,901114,05-01-2016 12:05,5441.043579
33,MA_A6-Weekday-SDon-040800_X15_607,20160105,0,0,2152.521157,0.026903473,1.026903473,-0.287223697,1.026903473,1923.292411,2187.504037,X150112,901114,05-01-2016 12:10,6504.906277
34,MA_A6-Weekday-SDon-040800_X15_607,20160105,0,0,1810.927415,-0.004543,0.995457,-0.246087443,0.995457,1750.979505,1887.504037,X150112,901114,05-01-2016 12:15,8408.939524
35,MA_A6-Weekday-SDon-040800_X15_607,20160105,0,0,1504.583633,0.008519444,1.008519444,-0.25471292,1.008519444,1418.986536,1587.504037,X150112,901114,05-01-2016 12:20,9985.721563
36,MA_A6-Weekday-SDon-040800_X15_607,20160105,0,0,1227.721919,-0.015963415,0.984036585,-0.284424113,0.984036585,1176.668232,1287.504037,X150112,901114,05-01-2016 12:25,10970.16979
37,MA_A6-Weekday-SDon-040800_X15_607,20160105,0,0,929.2283521,0.017786227,1.017786227,-0.004684924,1.017786227,1125.935684,987.504037,X150112,901114,05-01-2016 12:30,12255.82857
38,MA_A6-Weekday-SDon-040800_X15_607,20160105,0,0,4374.307662,0.049830661,1.049830661,-0.313216376,1.049830661,3208.111294,4405.52319,X150112,903098,05-01-2016 12:00,3627.466508
39,MA_A6-Weekday-SDon-040800_X15_607,20160105,0,0,3998.253673,-0.034464494,0.965535506,-0.328263146,0.965535506,3074.577923,4105.52319,X150112,903098,05-01-2016 12:05,5441.043579
40,MA_A6-Weekday-SDon-040800_X15_607,20160105,0,0,3747.534441,0.026903473,1.026903473,-0.214028962,1.026903473,2928.098078,3805.52319,X150112,903098,05-01-2016 12:10,6504.906277
41,MA_A6-Weekday-SDon-040800_X15_607,20160105,0,0,3405.9407,-0.004543,0.995457,-0.184807509,0.995457,2755.785172,3505.52319,X150112,903098,05-01-2016 12:15,8408.939524
42,MA_A6-Weekday-SDon-040800_X15_607,20160105,0,0,3099.596917,0.008519444,1.008519444,-0.182940186,1.008519444,2423.792203,3205.52319,X150112,903098,05-01-2016 12:20,9985.721563
43,MA_A6-Weekday-SDon-040800_X15_607,20160105,0,0,2822.735204,-0.015963415,0.984036585,-0.188824523,0.984036585,2285.869391,2905.52319,X150112,903098,05-01-2016 12:25,10970.16979
44,MA_A6-Weekday-SDon-040800_X15_607,20160105,0,0,2524.241637,0.017786227,1.017786227,-0.200990536,1.017786227,2190.728128,2605.52319,X150112,903098,05-01-2016 12:30,12255.82857
45,MA_A6-Weekday-SDon-040200_X30_607,20160105,0,0,171.1651208,0.163746782,1.163746782,-0.566804192,1.163746782,124.4186402,180.04442,X300089,201558,05-01-2016 12:00,4935.571935
46,MA_A6-Weekday-SDon-040200_X30_607,20160105,0,0,245.7138563,0.163746782,1.163746782,-0.486282613,1.163746782,176.5115132,237.584199,X300089,201560,05-01-2016 12:00,4935.571935
47,MA_A6-Weekday-SDon-040200_X30_607,20160105,0,0,4215.508778,0.163746782,1.163746782,-0.22334276,1.163746782,4340.492089,4600.786368,X300089,403465,05-01-2016 12:00,4935.571935
48,MA_A6-Weekday-SDon-040200_X30_607,20160105,0,0,3889.981602,0.057390322,1.057390322,-0.215080568,1.057390322,4046.887114,4300.786368,X300089,403465,05-01-2016 12:05,6476.612581
49,MA_A6-Weekday-SDon-040200_X30_607,20160105,0,0,3613.496965,0.035944519,1.035944519,-0.243308344,1.035944519,2079.405957,4000.786368,X300089,403465,05-01-2016 12:10,7410.203871
50,MA_A6-Weekday-SDon-040200_X30_607,20160105,0,0,3363.95858,0.069420985,1.069420985,-0.229268201,1.069420985,1802.685407,3700.786368,X300089,403465,05-01-2016 12:15,8300.496774
